ModelName,ModelDomain,SourceWebAddress,SourceCodeAvailability,CodeReviewed,ProgrammingLanguage,DOIModel,FullUrl,F,A,I,R,F1,F2,F3,A1,A3,I1,I2,I3,R1,R2,R3,R4,F1_1,F1_2,F2_1,F2_2,F3_1,F3_2,F3_3,A1_2,A1_3,A1_4,A1_5,A3_2,A3_3,A3_4,A3_5,I1_1,I1_3,I1_4,I2_1,I2_2,I3_1,I3_2,I3_3,R1_1,R2_1,R3_2,R4_1
DetachmentLtdErosion,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DetachmentLtdErosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffusion,Marine,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100111,https://csdms.colorado.edu/wiki/Model:Diffusion,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
Dorado,Hydrology,https://github.com/passaH2O/dorado,Through web repository,0,Python,,https://csdms.colorado.edu/wiki/Model:Dorado,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
Drainage Density,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab/components/drainage_density,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:Drainage_Density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DynEarthSol3D,Geodynamic,https://github.com/tan2/DynEarthSol,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:DynEarthSol3D,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
DynQual,Hydrology,https://github.com/UU-Hydro/DYNQUAL,Through web repository,1,Python,10.5281/zenodo.7932317,https://csdms.colorado.edu/wiki/Model:DynQual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECSimpleSnow,Climate,https://github.com/permamodel/Snow_BMI_Fortran,Through web repository,1,Fortran90,,https://csdms.colorado.edu/wiki/Model:ECSimpleSnow,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
EF5,Hydrology,https://github.com/HyDROSLab/EF5,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:EF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCAPE,Climate,https://github.com/Geodels/eSCAPE,Through web repository,0,Fortran90,10.5281/zenodo.1419844,https://csdms.colorado.edu/wiki/Model:ESCAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilibrium Calculator,Hydrology,https://github.com/vipenrica/Channel-geometry,Through web repository,1,,,https://csdms.colorado.edu/wiki/Model:Equilibrium_Calculator,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
ErosionDeposition,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab/components/erosion_deposition,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:ErosionDeposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EstuarineMorphologyEstimator,Coastal,https://github.com/JasperLeuven/EstuarineMorphologyEstimator/,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:EstuarineMorphologyEstimator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExponentialWeatherer,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:ExponentialWeatherer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVCOM,Coastal,https://github.com/FVCOM-GitHub/fvcom,Through web repository,1,Fortran90,,https://csdms.colorado.edu/wiki/Model:FVCOM,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
FastscapeEroder,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:FastscapeEroder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
